Case	MYCL	MUC1	CDKN2A	NFIB	FGFR2	WWTR1	SMO	FGFR1	MECOM	MLF1	PBX1	PAX8	WT1	ERBB2	EGFR	ACKR3	CDKN1A	NDRG1	EPAS1	FGFR3	PTPN13	LRIG3	SDC4	ELF3	CBLC	GNA11	PTK6	FAT1	MET	ERBB3	CDH1	PTPRK	ALDH2	AXIN2	RNF43	FGFR4	WNK2	ETV4	CCND1	FKBP9	AFDN	ID3	FBLN2	SFRP4	ELN	CREB3L1	PDGFRB	CDH11	COL1A1	COL3A1	TNC	PRRX1	MYCN	GATA3	CDKN2C	BIRC3	CD74	LCK	CD79A	CARD11	CCR7	PRF1	TENT5C	IGF2BP2	GATA2	LMO2	LYL1	CCND2	KLF6	JUN	CSF3R	PER1	CXCR4	TNFAIP3	CIITA	SH2B3	PIK3R1	CYLD	CHD2	KMT2C	KMT2D	MDM4	RBM15	PTPRC	LYN	CDK6	MYB	TEC	CHST11	RUNX1	GAS7	FES	JAK3	LCP1	VAV1	IKZF1	FLI1	CSF1R	KLF4	MAFB	Cluster
TARGET-20-PAWZLW	-0.3242003654554535	-0.6932702255865374	-0.6250824195813581	-0.8077815712032634	-0.7344926340506586	-0.9496179392486233	-0.8086400501669194	-0.7134021861226821	-0.8752448638058645	-0.7407682375447188	-0.6486753287030923	-0.6609038813885894	-0.6676889379377027	-0.3111691089142446	-0.2456070369374747	-0.5863960369326827	-0.5680596913975519	-0.5826916610756051	-0.9949753989084832	-0.3555935443387219	-0.5433418899028027	-0.7191671208787269	-1.0979347881513613	-0.9548817729037032	-0.9132932796213766	-1.1887716123217769	-0.6070273956224141	-0.6499155386549363	-0.7657340996617872	-0.9916046597038994	-0.5808290692034158	-1.115074902669743	-0.8012831376815904	-0.4636223598810827	-0.5035157074074899	-0.4347712961016802	-0.7007353719575775	-0.7550019644710376	-0.7918829466331958	-1.2043289722122248	-0.9809238403408258	-0.6054986440741232	-0.6850144476930373	-0.4693809657865268	-0.4911302711712634	-0.3370875262399769	-0.8127344846762643	-0.6434872434752567	-0.4203754763622958	-0.5382550445914775	-0.3408345526883763	-0.3311926018765626	-0.2760753857756401	-0.2216051550202372	0.6173541189265829	-0.0230225498959387	-0.7874008953570938	-0.3822146600600495	-0.2030885381856505	-0.4600384177286976	-0.2333630752370746	-0.3990548130083756	30.685508964695394	16.32803059708592	0.2331173130572633	0.7758264264449534	6.460468350630997	-0.6006689388701306	1.1065280385112737	-0.5797004835331669	1.1065288429690388	0.5615328301959951	0.7375744360781623	3.719215382550211	-0.6695115888911932	1.094624691922582	0.8720099743978319	2.257549921732501	4.9324240402923945	1.4965388965667794	1.1812758157989305	0.637003221451386	1.462305075525644	0.9351613908117176	0.530943235618598	-0.4848356976599834	-0.5444102820991665	1.4178933223237598	1.6897224551810193	-0.5390519670838712	-0.0852647043226578	-0.202263420196173	-0.1322496552395763	1.4034608290535515	1.1664530233074406	1.4357870384183269	-0.4033003452832937	-0.7792344547499781	-0.4048065165555346	-0.5284226816953909	2
TARGET-20-PAYHFV-Sorted-non-leukemic	-0.2636295327526507	-0.6735394920339636	-0.593864059577684	-0.8077815712032634	-0.7296378399083083	-0.9478024793583965	-0.7485882009884968	0.8850426270019314	-0.9056555896549936	-0.7939278879710718	-0.8785769482764866	-0.650202330287759	-0.6336023272530722	-0.3072060881678648	-0.2458304616732685	-0.5675525045046319	1.4876678355686286	0.4306560998791859	-0.6436146229786197	-0.3643081651830351	-0.5178426366196335	-0.7286335287403197	-0.3478936600830455	-1.04894277191534	-0.9061263476457396	-1.2055564685003668	-0.4877509750586535	-0.7340519404934811	-0.6969122436013092	-0.9924045702040964	-1.0266534010321542	-1.1071825572640324	-0.4519390559618371	-0.5189903032824877	-0.5170559847929443	-0.4549430294565166	-0.6991912629599969	-0.7452337684144615	-0.7854048056159058	-1.2133601127196691	-1.0376209246819268	-0.3825336042016573	-0.6428384878340778	-0.466651857240808	-0.469496810912022	-0.4858551383115103	-0.7804249010694965	-0.6430012304689232	-0.4271693111105599	-0.5382550445914775	-0.3432646499741675	-0.3304323791699929	-0.2674819803289203	-0.2023334309191764	0.2975969705556925	0.0363590704679579	-0.1532746749959306	-0.3783422581164544	-0.1755358307381754	-0.3986632189754912	0.2633995685083245	-0.3585032759931982	-0.0490784662854911	-0.1080104011557367	-0.2162340396009866	1.8346186360221743	0.2154534310789954	0.7581690089530881	6.057384181258929	6.990167762575375	1.5729390084471682	1.2698599074160943	1.2886945635578708	5.019356430005685	-0.0330871704117057	5.3633807995212965	1.6515100117758932	3.3976299789355906	2.781193545915658	1.513522479209808	0.95480679870135	1.5525782490784767	1.897602896452398	1.778471227130307	4.235975460838625	-0.2255666947732168	-0.2612723073403499	0.1544492932144487	0.7505930597732757	3.2764254762080425	1.7572751978324932	0.7371402662297951	-0.269613733917293	2.9120686081491702	1.794315838905851	0.338822621301521	0.6447024702887805	-0.3289677008667897	15.095991585164702	17.884776518042884	2
TARGET-20-PAKRUP	-0.3089495508034855	-0.6828049113628739	-0.579329154884647	-0.8077815712032634	-0.7355569960773931	-0.9576382928732546	-0.7307406234354691	-0.0433435580275908	-0.9123275772021796	-0.7834409069983305	-0.8829750925918296	-0.6630148800123771	-0.6462717332492157	-0.3124465798202497	-0.2457509376147656	3.1102015237190703	15.063894595979516	0.3600983469369326	-0.9564610041688494	-0.3663406910811753	-0.524741202208566	-0.7286335287403197	-0.8720136382074966	-1.058756399559912	-0.9132932796213766	-1.28265969952729	-0.4591293546428471	-0.7339813681047557	-0.7560636601565939	-0.9941827152013496	-1.0328646660740557	-1.1131252125991622	-0.7210724528831113	-0.5183071317991278	-0.5333897913079616	-0.4555421305362563	-0.6999274079472155	-0.7707726208951159	-0.7237700763566058	-1.0844751195233533	-0.9171874816321804	-0.5060212625870972	-0.2845673185065563	-0.4676482991981984	-0.4831382467308239	-0.4856678998911389	-0.7109911284170214	-0.6434872434752567	-0.427829559691087	-0.5382550445914775	-0.3448972043181461	-0.3311926018765626	-0.2527941024965531	-0.1714280610359294	-0.7690125327818448	-0.2185600666877916	-0.0539815670417594	-0.3687095777409555	-0.1671238796250152	-0.4423140409922163	-0.2527179409219648	-0.3912751010517911	-0.0016126886881841	0.0688658911781643	0.142214163063133	0.7933307227210696	1.6599431571838057	-0.2525977670303256	3.15689753494118	4.639504693751785	2.196653967398776	1.8123505344801425	3.4354435858989474	17.31013781255263	-0.1331464485322187	1.1263645411942458	0.0306761888461577	-0.0573711747124179	-0.1178593984613328	-0.1789725952165838	-0.0981646838947019	-0.129765391713149	-0.1409692046487189	1.348614761523605	3.0664291549901	0.1665333082602709	-0.0014457003646275	-0.0487168011072153	1.8687269532155155	0.6442310985650337	4.962881314638552	3.299725537806967	0.0621144823126347	2.044167581781233	1.1073623327181932	1.129880157964466	1.6973176582472176	9.747162360372272	7.694107109804711	6.655723144795602	2
TCGA-FF-8047	-0.2729244607121225	-0.6863967535968407	-0.6392169857229882	-0.7169039665672694	-0.7298333349744432	-0.8602251916401332	-0.6240867662019184	-0.6305909822880682	-0.8998055136172438	-0.8160107979461453	-0.8751645949283757	-0.6619636083345762	-0.6686405813100915	-0.3001408157763275	-0.2380673988194157	-0.3698067730029188	-0.6518935318407839	-0.615351436731051	-0.8145572073876765	-0.3713821523775424	-0.5378050802110348	-0.7090395670712449	-1.0812148612497816	-1.061357385451664	-0.9093214766541916	-1.0586220348160853	-0.6156909372859908	-0.7282508901402448	-0.7572682532308471	-0.9952934189532155	-1.0298949049758963	-1.0936907019756144	-0.2911703107450047	-0.5167172054378535	-0.5457417764517366	-0.451540135323595	-0.2847416351559091	-0.7510265358433613	-0.7417398525929056	-1.1406086243335305	-0.8094041153224355	0.2420116003827162	-0.5450242149941791	-0.4495536748636769	-0.387255379784533	-0.4820568732125473	-0.4847603789654959	-0.5864154304458133	-0.4072229204688122	-0.4821541815222377	-0.1218715467004887	-0.2377102712555249	-0.2718418209886637	-0.2013646780320588	0.7280365728983528	0.3544386064823557	6.435427215419015	3.855153112638387	20.742626026403244	5.2559104415689335	3.8447148779415934	1.1849317756516646	0.1546558213387475	-0.8963192511836029	-0.3418104374077979	-0.0222661816715097	1.1253856765580543	-0.5230841281919634	-0.5828682540405974	-0.6919230633442517	-0.4125848723031772	-0.4902196799015691	0.558816734076223	-0.2773479429210607	1.757262763450107	-0.4421968571778826	-0.6176239424679267	-0.2908981288786902	-0.3579026174890442	-0.5752455588699431	-0.7180215497348464	-0.3751879534216967	-0.3352896470077121	0.2178978070176372	0.1765038640821912	-0.3863731752420822	-0.4502474339373364	-0.0698669224751557	0.4546214182076659	-0.5939506690033669	-0.4652518958302274	-0.4207300586121207	0.6210776745493	1.5013578425023462	1.7056281164349782	0.93576237910191	1.000200381492785	-0.2988888958063213	-0.5181250989093886	-0.3038531808226752	2
TCGA-G8-6907	-0.2886389072623087	-0.693728573236966	-0.5824896165140949	-0.6234220263534719	-0.7280738793792291	-0.8116927262185257	-0.6856317460514441	-0.1828146060164901	-0.8980166473908245	-0.680334935869162	-0.8533406995153461	-0.6379393729952352	-0.6686405813100915	-0.2706719129193015	-0.2341745068127032	-0.486554745654973	-0.27016793925464	-0.6116159325773126	-0.8322844890259088	-0.3358893349373079	-0.5302480831992974	-0.6735330245681591	-1.0682103460480656	-1.05891521551874	-0.908625546027802	-1.0774362942606006	-0.6350658930416336	-0.7213912539561259	-0.7460394240841375	-0.9943661341695478	-1.0145112405509369	-1.0628076112576168	2.91638037129639	-0.5152328601240077	-0.5473887078042399	-0.4265336562552591	-0.6955284927796895	-0.7694969888519495	-0.742253430047716	-1.1836635305959489	-1.0335711329432766	-0.2072804030208289	-0.3079072084684255	-0.4600099686522157	-0.1618574358025595	-0.4716149877336199	-0.20057928768528	-0.4727751750006292	-0.3847761527699945	-0.4640434084807958	-0.1198964235761342	-0.1043956124485079	-0.2760753857756401	-0.211564569541311	-0.3461845165415392	1.969809331742468	8.709465235265803	4.304648128260828	5.818095889868597	2.6481565042287323	0.8705212650857228	-0.1645464253279508	-0.0942005431735055	-0.8941400279772145	-0.3366146773586816	14.801935850303243	5.990914208787625	-0.5432331762189664	-0.5737747625611211	-0.6921711037388821	-0.4244886229874172	-0.3434426864146573	0.2989237703409598	-0.3298996262520748	2.97461737733177	-0.5302568529302852	-0.4201292886514534	-0.2287412282133805	-0.4255775333121669	-0.5351015788636362	-0.7006084237460228	-0.4349916598363382	-0.045753929635648	0.2354756307846822	0.4247616152654125	-0.4182431740204317	-0.6386412523176394	-0.0820670386310973	-0.533407104612105	-0.5228401908575907	-0.4267731508856218	-0.3250710971823689	1.204134767537107	0.7841756421332243	2.020179763278199	1.245982987974939	2.1404920732866035	-0.459318379442312	-0.5283587789991037	-0.3539993443672001	2
TCGA-FM-8000	-0.2837618563329743	-0.6894858076287214	-0.5492353639776382	-0.5993798968615363	-0.6998465639967499	-0.8052888779756029	-0.4541498316970113	0.1892976288289931	-0.8973784572776154	-0.7518926453376186	-0.8349898215099495	-0.6574428582777598	-0.6625019586772097	-0.1088659801792396	-0.2122940301446245	-0.5254548281114453	-0.652472676143166	-0.5562763102741697	-0.7333367778180025	-0.3554573783880295	-0.4955307899968603	-0.6689500810796102	-0.877602260566549	-1.0565509553014678	-0.9132932796213766	-1.0145529791733894	-0.4445304539068683	-0.6821318341081285	-0.7498974914128644	-0.981195633258661	-1.0058801701697946	-0.9007025800292588	0.6724413879368291	-0.4764100879196125	-0.5438967963922866	-0.4416849225618766	-0.6923684557613853	-0.7566227161423209	-0.6990775984102494	-1.00509584723763	-1.0241608895941952	-0.3288785956577501	0.1490481304093259	-0.2738530320138955	-0.161621746073753	-0.4427033695023403	-0.0271579955772299	-0.236486065885723	-0.2730415266172797	-0.2833997675454031	-0.2547159728842054	-0.04599212957347	-0.2754008067711219	-0.1715400058139963	0.096269048730243	0.8933826082028243	0.4888156272125932	6.884853383356813	3.756268918784867	4.432438066901575	-0.127235731389944	-0.1055639100951072	-0.0962700804080364	-0.8946956101573048	-0.3422076987395211	13.876661271640256	1.1642003203241853	-0.5969279003381874	-0.4966557805024255	-0.6324200565235264	-0.4057766545075869	-0.2479122265467116	0.5175520151982204	-0.1050534710027592	2.0640030891198	-0.5008619440554275	-0.5066476320884329	0.1007357153132461	-0.4330263721013457	-0.5337460816573851	-0.7111288540309372	-0.4107833760912728	-0.1382695032535313	0.699143272119871	-0.1221668713257332	-0.3689586618200252	-0.6383733055615117	-0.4232408469087726	-0.5467991733275903	-0.5314817622084185	0.5462682721914563	-0.4614102505076839	1.068601425026897	1.8108474524845397	1.9104232957809175	0.3773385313263085	0.8313654569548461	0.9207391030415052	-0.4929380567467253	0.9728940568461892	2
TARGET-20-PARCCH	-0.3176783128872485	-0.6811083279495956	-0.6344129231061063	-0.8055884465061656	-0.7136724095072908	-0.9493319421426284	-0.687229862472859	-0.6629508142533879	-0.910200276824816	-0.6833212368622325	0.6302898721837676	-0.6604754811338287	-0.2639934532747812	-0.3098369070249249	-0.2458304616732685	-0.571092129633582	-0.6841155764405221	1.112459813580427	1.4878047517206483	-0.3687651092276495	-0.4927174920994215	-0.7286335287403197	-1.0994841205727262	-1.048046810185347	-0.903581010216624	-1.2542621468825723	-0.6100193719501398	-0.7337696509385792	-0.7630300830405615	-0.982362381695254	-1.0305483818188468	-1.1092570274991302	-0.842199023193869	-0.5174624834197008	-0.5423541012013341	-0.436125264541892	-0.6948103025482567	-0.7715414950033259	-0.7769783310795735	-1.1650303810281244	-0.9040367033681276	-0.5770871565399384	-0.6782727481879708	-0.4617585021506937	-0.3758851358978667	-0.4864402583751711	-0.8098377633873817	-0.6434872434752567	-0.4273783424641271	-0.5382550445914775	-0.3447125383349748	-0.3301650481083421	1.0551414801800458	0.5141648155298221	-0.4683695759204971	0.1359373043666581	-0.5900869298887201	-0.2996571124672293	-0.1703750214021638	-0.3935417096126288	-0.2321062127806238	-0.0901737329975274	-0.0506468495022717	0.152308587225855	0.7059698097606109	0.0971648300281676	-0.048733877429498	2.826836554655018	2.188555552753608	4.45725732777231	12.278776448348628	4.555842297897634	1.4973389971979625	3.492812271261985	1.1950593730926808	0.1616502411741451	0.0435999670379226	1.465480453254416	0.8807239039310863	2.147943012813188	2.096786901288295	1.337326416682758	1.023472968094975	3.622609647605124	1.6754266429203086	1.404722483160345	1.450117248457443	0.9603011256396272	2.77344157812752	0.6841836494901482	1.041239278056212	2.9070411415248603	2.3677059373572127	1.275946074629502	3.669634431780871	0.3040720277108288	0.8092702598944255	-0.7543002005825283	2.4255757927846875	-0.6119947681599996	2
TARGET-20-PAEAFC	-0.3117045941986671	-0.6804913885265854	-0.6137683290632073	-0.8059585362988008	-0.7353723618482657	-0.9543431088259254	-0.8068086320781447	-0.7231066913448523	-0.911776413013499	-0.8179842015263614	-0.8825201121454148	-0.641307388156018	-0.594788872564928	-0.3126916253591815	-0.245512365439257	-0.5335323321978469	-0.309626971056946	-0.3335279586419233	-1.018888146300219	-0.3694127277736256	-0.5446437883978942	-0.7276267837772614	-1.0021368885231403	-1.0559007088285297	-0.9132932796213766	-1.189800407032975	-0.5733936942121347	-0.7331839001121575	-0.7643020659371504	-0.9949622458161912	-1.032547632754209	-1.109974513445104	-0.5742152741574154	-0.5189530393833954	-0.5329311521971378	-0.4530139239797546	-0.698886032111638	-0.7772731019917998	-0.7914998015478611	-1.2048998407651608	-1.0980732704534122	-0.594735639438207	-0.6703875554265818	-0.4637704263576538	-0.4851380383691823	-0.4859286962623705	-0.8029859034156016	-0.6388701199150888	-0.4276798907158742	-0.5377796717530249	-0.3401788546321882	-0.3303989627872866	-0.2171743372284209	-0.2305865706759147	0.284301674985402	-0.2797226219313899	1.4293274457106069	-0.3845277920030622	-0.1835947623202078	-0.3956655733957336	-0.2595572314317426	-0.397949067146526	-0.0294727419582734	0.3909694495870326	0.4117002206609279	1.2247249903213022	1.3830830600496042	-0.3458423794971641	5.422327968662626	7.654073363122564	1.2165304604748208	1.1754604626420524	3.764707950674551	3.4037971083726823	0.7327281175675123	0.7795129318624028	-0.0882559683758899	0.0640918782543543	0.0018194474269827	-0.0174930103871887	0.2303666489827099	0.4446954833923778	0.4310989724439141	1.1083638468265429	1.137381552856518	0.1246665152480695	1.6734758477771656	0.5702878123664865	1.267399222161899	1.318314870332499	2.74012417666568	4.953357709325533	-0.208463613955685	3.2700134850216136	1.938689398047259	0.914059977985321	1.5683645644033375	2.9841947560824984	13.105707469679878	0.8759101099764727	2
TARGET-20-PALGKX	-0.324343021424136	-0.6854879007462761	-0.6390278810806151	-0.8077815712032634	-0.7351442842711082	-0.9437985198744718	-0.6780377767788812	-0.4898024637588032	-0.9108191278436852	0.0396517553110191	-0.8648213727798795	-0.6328577568154097	-0.5905430790573469	-0.3124316531884366	-0.2455691683381876	-0.3945046067678397	2.541083445672821	-0.4458160984274313	-0.772298631782358	-0.3541388934508373	-0.5360991442519495	-0.7256733980280439	-0.9849598568745608	-1.0613963403094897	-0.9132932796213766	-1.253895726848447	-0.619175791384641	-0.730805610612108	-0.7642346761148147	-0.9947024022779108	-1.0328150622212906	-1.1032363845611772	-0.897133996222483	-0.5164501474943582	-0.5445326369777468	-0.4524927060403811	-0.7005558243997192	-0.7791516012334491	-0.7759267201006762	-1.0935975989992672	-0.8791047127734565	-0.0501201698373645	0.2060333802320684	-0.4582773020638873	-0.3933904548464969	-0.4856144031996043	-0.770835480319212	-0.6370649287487075	-0.4275636920178187	-0.5380450759899732	-0.3404223996244866	-0.3285527076427603	0.3892688647841772	-0.1947685472628842	1.1542795169575528	-0.2720166537019118	2.1006434038246216	-0.3264868657003912	-0.0772312850711385	-0.4412808099625976	-0.2677186759541505	-0.3911397035993197	0.1119367616187903	1.316851942208968	5.786862093284023	0.6071737780559946	5.732904559457247	-0.1694817845061696	7.451634432781483	8.346778546654226	3.1487888956897074	0.7875506152908691	6.628346918611909	5.707001071051804	0.6979568946096734	0.1927664360849563	0.1796544902906844	-0.1483077790191106	-0.3564772224121025	-0.438218080506254	-0.353298952884901	0.0270176805461535	0.6884414764045467	1.1127906347556131	1.4755327569725183	0.5103735208748815	2.5557836424711007	-0.0364483643008004	1.0287419424567608	2.036854464199046	0.6978674725810243	1.6970984557990592	0.535880746728319	0.3195898771742706	0.080233554181416	0.6766377161551492	3.168029212581463	1.4593344322250863	5.921875190367516	-0.3337123131872624	2
TARGET-20-PASXNR	-0.3235450395993181	-0.6737965501268846	-0.5357284643085656	-0.8056569816529497	-0.7256301910525428	-0.9540198077495836	-0.7940470308735614	-0.6396755013735955	-0.910780449655006	-0.8087633423196878	-0.8726773684879748	-0.6449036955578246	-0.4752164514671935	-0.3106479206867703	-0.2458304616732685	-0.5897089669691046	-0.1963046471212196	-0.2397487507738189	-0.9731880828341748	-0.3712958032380789	-0.540992486871431	-0.7286335287403197	-0.4755648535272185	-1.0552384762454912	-0.9121128890009258	-1.202300967427945	-0.5742822625878862	-0.7329157250350006	-0.7608230663590627	-0.9838857781255655	-1.0290559528573897	-1.112906847311257	-0.846384072328539	-0.5198846368607045	-0.5180462283276773	-0.4504018432720895	-0.7010765123175081	-0.7792083930709873	-0.5119886684436329	-0.8686753891425613	-1.2019099306324	-0.5875818538069462	-0.6677147276311287	-0.4682607619299702	-0.3309826715037266	-0.4840429378857727	-0.807203656940623	-0.6415431914499229	-0.4276057929953751	-0.5382010806985676	-0.3429515206983552	-0.3311926018765626	0.2827285817109816	-0.1977221671764963	0.6972258127836473	-0.1253635161080221	-0.631947628603874	-0.353999604966866	-0.1454436240604283	-0.4081600152909359	-0.1820724771360024	0.2068600699220753	-0.0478080665387243	0.4523852279947665	5.308667128618703	0.9625269081877392	2.38253151265892	1.0202612216732172	4.204141059594088	3.338218011465306	2.840181737818676	0.4367463440551025	1.8404063636657175	10.899876686177134	-0.4616577767356138	3.668853693344139	-0.0303583963012917	0.022313669473839	1.6430176669998806	0.8326376276462676	1.7222509749615973	0.1960652769163625	1.7095236992543228	0.2671394236893898	1.2230060078949807	0.0531144533231947	1.283772269077125	1.4086017138593947	2.669666506880758	2.9569522345317663	-0.0610026977453896	2.2982962320209097	1.3791142935150424	1.4275633294611678	1.8086717884454648	0.7352442310964956	1.2331113775059437	1.548197864370734	-0.2521562882006501	-0.4078797192483981	2
