Case	MYCL	MUC1	CDKN2A	NFIB	FGFR2	WWTR1	SMO	FGFR1	MECOM	MLF1	PBX1	PAX8	WT1	ERBB2	EGFR	ACKR3	CDKN1A	NDRG1	EPAS1	FGFR3	PTPN13	LRIG3	SDC4	ELF3	CBLC	GNA11	PTK6	FAT1	MET	ERBB3	CDH1	PTPRK	ALDH2	AXIN2	RNF43	FGFR4	WNK2	ETV4	CCND1	FKBP9	AFDN	ID3	FBLN2	SFRP4	ELN	CREB3L1	PDGFRB	CDH11	COL1A1	COL3A1	TNC	PRRX1	MYCN	GATA3	CDKN2C	BIRC3	CD74	LCK	CD79A	CARD11	CCR7	PRF1	TENT5C	IGF2BP2	GATA2	LMO2	LYL1	CCND2	KLF6	JUN	CSF3R	PER1	CXCR4	TNFAIP3	CIITA	SH2B3	PIK3R1	CYLD	CHD2	KMT2C	KMT2D	MDM4	RBM15	PTPRC	LYN	CDK6	MYB	TEC	CHST11	RUNX1	GAS7	FES	JAK3	LCP1	VAV1	IKZF1	FLI1	CSF1R	KLF4	MAFB
TARGET-20-PAWZLW	-0.3242003654554535	-0.6932702255865374	-0.6250824195813581	-0.8077815712032634	-0.7344926340506586	-0.9496179392486231	-0.8086400501669194	-0.7134021861226821	-0.8752448638058645	-0.7407682375447188	-0.6486753287030923	-0.6609038813885894	-0.6676889379377027	-0.31116910891424465	-0.24560703693747477	-0.5863960369326827	-0.5680596913975519	-0.5826916610756051	-0.9949753989084832	-0.3555935443387219	-0.5433418899028027	-0.7191671208787269	-1.0979347881513613	-0.9548817729037032	-0.9132932796213766	-1.1887716123217769	-0.6070273956224141	-0.6499155386549363	-0.7657340996617872	-0.9916046597038994	-0.5808290692034158	-1.115074902669743	-0.8012831376815904	-0.4636223598810827	-0.5035157074074899	-0.4347712961016802	-0.7007353719575775	-0.7550019644710376	-0.7918829466331958	-1.2043289722122248	-0.9809238403408258	-0.6054986440741232	-0.6850144476930373	-0.4693809657865268	-0.4911302711712634	-0.33708752623997695	-0.8127344846762643	-0.6434872434752567	-0.4203754763622958	-0.5382550445914775	-0.34083455268837637	-0.33119260187656263	-0.2760753857756401	-0.2216051550202372	0.6173541189265829	-0.02302254989593874	-0.7874008953570938	-0.3822146600600495	-0.20308853818565056	-0.46003841772869764	-0.2333630752370746	-0.39905481300837564	30.685508964695394	16.32803059708592	0.23311731305726333	0.7758264264449534	6.460468350630997	-0.6006689388701306	1.1065280385112737	-0.5797004835331669	1.1065288429690388	0.5615328301959951	0.7375744360781623	3.719215382550211	-0.6695115888911932	1.094624691922582	0.8720099743978319	2.2575499217325006	4.9324240402923945	1.4965388965667794	1.1812758157989305	0.637003221451386	1.4623050755256441	0.9351613908117177	0.530943235618598	-0.48483569765998347	-0.5444102820991665	1.4178933223237598	1.6897224551810193	-0.5390519670838712	-0.08526470432265786	-0.20226342019617305	-0.13224965523957638	1.4034608290535517	1.1664530233074406	1.4357870384183269	-0.4033003452832937	-0.7792344547499781	-0.4048065165555346	-0.5284226816953909
TARGET-20-PAYHFV-Sorted-non-leukemic	-0.2636295327526507	-0.6735394920339636	-0.593864059577684	-0.8077815712032634	-0.7296378399083083	-0.9478024793583965	-0.7485882009884968	0.8850426270019314	-0.9056555896549936	-0.7939278879710718	-0.8785769482764866	-0.650202330287759	-0.6336023272530722	-0.3072060881678648	-0.24583046167326858	-0.5675525045046319	1.4876678355686286	0.43065609987918596	-0.6436146229786197	-0.3643081651830351	-0.5178426366196335	-0.7286335287403197	-0.34789366008304556	-1.0489427719153401	-0.9061263476457397	-1.2055564685003668	-0.4877509750586535	-0.7340519404934811	-0.6969122436013092	-0.9924045702040963	-1.0266534010321542	-1.1071825572640324	-0.45193905596183714	-0.5189903032824877	-0.5170559847929443	-0.4549430294565166	-0.6991912629599969	-0.7452337684144615	-0.7854048056159058	-1.2133601127196691	-1.0376209246819268	-0.38253360420165733	-0.6428384878340778	-0.46665185724080804	-0.46949681091202206	-0.48585513831151034	-0.7804249010694965	-0.6430012304689232	-0.42716931111055995	-0.5382550445914775	-0.3432646499741675	-0.33043237916999296	-0.26748198032892034	-0.20233343091917644	0.29759697055569256	0.03635907046795798	-0.15327467499593067	-0.3783422581164544	-0.1755358307381754	-0.39866321897549123	0.2633995685083245	-0.35850327599319826	-0.049078466285491194	-0.10801040115573672	-0.21623403960098667	1.8346186360221743	0.21545343107899542	0.7581690089530881	6.057384181258929	6.990167762575375	1.5729390084471682	1.2698599074160943	1.2886945635578708	5.019356430005685	-0.033087170411705794	5.3633807995212965	1.6515100117758932	3.3976299789355906	2.781193545915658	1.5135224792098079	0.95480679870135	1.5525782490784767	1.897602896452398	1.778471227130307	4.235975460838625	-0.22556669477321686	-0.26127230734034995	0.15444929321444875	0.7505930597732757	3.2764254762080425	1.7572751978324932	0.7371402662297951	-0.269613733917293	2.9120686081491702	1.7943158389058507	0.338822621301521	0.6447024702887805	-0.3289677008667897	15.095991585164702	17.884776518042884
TARGET-20-PAKRUP	-0.3089495508034855	-0.6828049113628739	-0.579329154884647	-0.8077815712032634	-0.7355569960773931	-0.9576382928732546	-0.7307406234354691	-0.04334355802759089	-0.9123275772021795	-0.7834409069983305	-0.8829750925918296	-0.6630148800123771	-0.6462717332492157	-0.3124465798202497	-0.24575093761476566	3.1102015237190703	15.063894595979516	0.36009834693693266	-0.9564610041688494	-0.3663406910811753	-0.524741202208566	-0.7286335287403197	-0.8720136382074966	-1.0587563995599119	-0.9132932796213766	-1.28265969952729	-0.45912935464284715	-0.7339813681047557	-0.7560636601565939	-0.9941827152013496	-1.0328646660740557	-1.1131252125991622	-0.7210724528831113	-0.5183071317991278	-0.5333897913079616	-0.4555421305362563	-0.6999274079472155	-0.7707726208951159	-0.7237700763566058	-1.0844751195233533	-0.9171874816321804	-0.5060212625870972	-0.2845673185065563	-0.46764829919819845	-0.48313824673082395	-0.48566789989113895	-0.7109911284170214	-0.6434872434752567	-0.427829559691087	-0.5382550445914775	-0.34489720431814613	-0.33119260187656263	-0.2527941024965531	-0.1714280610359294	-0.7690125327818448	-0.2185600666877916	-0.053981567041759417	-0.36870957774095553	-0.1671238796250152	-0.4423140409922163	-0.25271794092196487	-0.39127510105179114	-0.0016126886881841478	0.06886589117816434	0.14221416306313303	0.7933307227210696	1.6599431571838055	-0.2525977670303256	3.15689753494118	4.639504693751785	2.196653967398776	1.8123505344801423	3.4354435858989474	17.31013781255263	-0.13314644853221877	1.1263645411942458	0.03067618884615771	-0.05737117471241794	-0.11785939846133281	-0.1789725952165838	-0.0981646838947019	-0.12976539171314902	-0.14096920464871898	1.348614761523605	3.0664291549900997	0.16653330826027093	-0.0014457003646275556	-0.04871680110721533	1.8687269532155155	0.6442310985650337	4.962881314638552	3.299725537806967	0.06211448231263479	2.044167581781233	1.1073623327181932	1.129880157964466	1.6973176582472176	9.747162360372272	7.694107109804711	6.655723144795602
TARGET-40-PARJXU	-0.3230858657001211	-0.6477256312045042	0.28274459240330796	-0.23756914995781137	1.545609765628799	3.1805408763602676	0.6468240667408073	4.930400503083733	-0.8793737604473838	0.16702360497744695	-0.5770917384671651	-0.6632318985624861	-0.664452304709633	-0.31107332969344387	-0.06438306818919219	11.142342331263121	1.312622628462219	0.6573311115280485	0.7926965869639034	-0.06479289047099744	0.20430699069209388	6.035265148810068	0.03285966361104021	-1.0580851773942985	-0.9120975093185746	0.5827706011268355	-0.6414871879445249	5.29901925515571	-0.5837478844438475	-0.9932707153316984	-1.0327201678942615	-0.013718378079577851	-0.6119882373946451	-0.09012008862846328	-0.5473887078042399	-0.45525456201798126	-0.6260974521559228	-0.5581439811519731	-0.712069205878229	4.264157904812528	-0.7037560937476154	0.7614756786125578	0.30267609863144057	0.45307993634063193	-0.0008456404627322021	2.3668124717140078	4.986032012161139	8.45689800883033	11.30617421724338	8.343742299434131	8.720572959001766	19.549149964261417	-0.2557117397673265	-0.22520891576031488	3.045414819541751	-0.40284116173999207	-0.7274750605502001	-0.3882584421284227	-0.20621378834164567	-0.4611673182980957	-0.27372141840038144	-0.10765692904789395	-0.07893005798212971	-0.8965970422736481	-0.2579186014437294	-0.39291342416116504	-0.45348765328573004	-0.646235406542675	1.568603706683625	0.5237998346590055	-0.4301723745544507	0.5455308189541143	-0.5921122465705334	-0.2795524622703911	-0.6911328767942916	-0.04392702464160318	-0.3106678096797624	-0.16256152083834524	-0.31089802030368185	-0.4845282438821738	-0.3616365937185326	-0.3717680380446171	0.08055871225478652	-0.5793631963759728	-0.8163292143846842	-0.3500444853412919	-0.6401944352090904	-0.4838217436927162	0.2917474015610919	0.3081869962943564	-0.46377194410158873	-0.5074315638737233	-0.6278022687097379	-0.6116404131586424	-0.6851608086041039	-0.5819677895862598	-0.12067515588418877	-0.7105411910573445	2.2996694661940347	4.952806672600486
TARGET-40-PARKAF	-0.30125504449267093	-0.6913130985468747	-0.6358915604693425	3.7585233606242583	-0.2710389972668375	0.5497405409133054	1.5505414054258815	0.3025742625447409	-0.8406568935793669	-0.5487455909405909	-0.09998407634173406	-0.6399066320598598	-0.6682222765310196	-0.2697489495188578	-0.04587668371759289	1.1285483609367228	0.18092060813921304	-0.3197899584688465	-0.15894389949532312	-0.06807747889135789	6.158711848023525	-0.33744549339316093	-0.7081542199562164	-1.0602726424875923	-0.9132932796213766	0.3020082965173731	-0.6442500802378771	4.416109271527558	-0.7140039872912369	-0.9902188274997364	-1.0331967962186575	-0.5002986296142508	-0.4821524640427656	-0.4655228187347933	-0.5441573867961638	-0.4517258566583143	-0.6830678922643304	-0.6793115508412362	1.1913602526310771	0.8910497600241664	-0.5913486015981028	2.742969238357469	0.3597174708225915	-0.05142751215578459	-0.31693413524425895	11.413223712140509	7.34043773600672	11.910315498154828	10.418137560880718	0.7454106410115177	9.702195770212953	3.355661964402993	-0.2686018479374062	-0.2272798941545531	-0.11004901718856479	-0.26131962817447335	-0.7395058568154297	-0.3890960665089009	-0.2062074377257418	-0.4718504169068062	-0.28406604933253343	-0.40294748976692774	-0.09603188045551764	-0.6210139124442322	-0.3223481169018861	-0.38540600596073776	-0.41298677398993605	-0.6457809167375546	-0.3894297599538173	-0.5415184848112168	-0.43363317922847555	-0.35787348015614373	-0.5067247231644116	-0.3804793248497169	-0.658370325130393	0.24461705964625058	-0.2787668915682022	-0.4362106787674074	-0.24051861587416254	-0.46841643199140093	-0.5111422993746924	-0.46495483566421353	-0.34660371817732927	-0.4726918872464391	-0.4736334679648249	-0.3793814639855241	-0.6461846347231954	-0.5116184883424135	-0.02428542048124717	-0.2577181946051511	-0.4374011980146022	-0.38763988143776074	-0.420022543614929	-0.3937188622135702	-0.6624316319702779	-0.5805967596235786	-0.007423461451370464	2.9423160164978497	0.05061968744831964	3.6229502875184942
TARGET-40-PAMHLF	-0.3202951583127689	-0.6895041066794039	0.5068838874032672	-0.23385454500210182	0.6923172452979575	0.6877901005112266	2.883265515135596	2.662473993407847	-0.8115032088623161	-0.4795716831420415	-0.5087688414305439	-0.6633023591307033	-0.6681961324823276	-0.18611378758403607	0.014391192047805739	0.4938776668884357	-0.45092582575974766	-0.369341806034854	0.32469371960148397	1.3793665769687895	1.1926424850231965	0.2785321635562678	-0.8857072560428814	-1.0614922291902917	-0.9108286855246045	2.871556971978143	-0.6424243499033252	1.9610581842613746	-0.6182177785686304	-0.9899029392767288	-1.0333046306811906	-0.3002136358109817	-0.482590818991654	-0.3760770396134207	-0.5417078369997189	-0.4516180184639611	-0.6051083426422991	-0.7546699506515833	-0.5505694763981139	5.754981130804376	-0.014113376944042503	3.2540220422029726	-0.13788449337498893	0.12667855427266522	0.946798480051358	4.433433466115309	1.8643612159355303	7.217044114458939	15.798165572705235	11.647295261375872	4.177987552930775	2.586182919823677	-0.26643854285395124	-0.18533504692655184	1.7647110893484053	-0.47937569657024554	-0.5515490447368555	-0.3506813237672795	-0.20754480272197207	-0.431209996408476	-0.26549468232179435	-0.3857125223794254	-0.08118128106279744	-0.4907298912130712	-0.30531466611712377	-0.3476436924125885	-0.3550770741795659	-0.623476906845457	-0.22809950807345158	-0.3520553935034766	-0.4178670287885832	-0.4047528572275503	-0.6073197000706203	-0.3934647873251938	-0.5492283594198883	-0.17301100425089702	-0.301256770461209	-0.3557545445728946	-0.3356188017847163	-0.41041709858981	-0.4591734643261271	-0.41711375738236356	-0.28721754474501526	-0.5255924071486711	-0.6795233555005414	-0.23308228064842199	-0.6437549480362764	-0.4660388543838157	-0.3910404143270957	-0.49676831108046804	-0.3787705715007612	-0.38983636404069527	-0.5785489905311882	-0.5677647206454602	-0.5891206691322952	-0.5432445530793106	0.15268386024770222	-0.07016315562056671	-0.20838224875395728	1.5848716057788454
TARGET-40-0A4I6O	-0.30175434038305987	-0.6769466009943736	0.44164680928758554	-0.6542080142889835	2.4109143716899304	0.3852922049664034	1.1086680474463455	0.5809308160601547	-0.8799249246360643	-0.5052783209303436	-0.4971516740320862	-0.6248083415022753	-0.6679137767564539	-0.28710862231750095	2.2451167702522277	-0.25843584886135934	-0.300728225802743	3.893143352680616	0.7517803890327496	-0.24391089580497016	1.7987136453645338	3.189572789349888	-0.3181129412646672	-1.0615191979380174	-0.9132932796213766	1.973968819153293	-0.6573842315419531	0.8550688798719076	-0.45575776437250093	-0.9919664026689567	-1.0285426608157326	-0.6496136939795998	-0.5899795106212121	-0.06674320259785324	-0.48466980939909726	-0.44638786603783337	-0.6322918429020308	-0.7501134978398619	-0.6520947719887128	5.745630303907287	0.04078707251663907	0.8275423274326631	-0.33353408494293973	0.8953764035227798	1.2998474095775445	1.8047628562776619	1.9973557384075258	2.9507698720417306	8.566377047349603	10.405423850431365	14.076975197376132	11.799388733506731	-0.2760753857756401	-0.21542666438462008	0.745787144349404	-0.36289570568822344	-0.6790474631578366	-0.3815961066713887	-0.2075537682973658	-0.4522509171906466	-0.2571332824085875	-0.34604106880531194	-0.04910555569185608	-0.46162887978006867	-0.2798411544075059	-0.4089312516335967	-0.40080840627570347	0.31228977599095037	-0.39270668564023065	-0.3541558874782578	-0.4255280455516295	-0.39285431693330153	-0.41563449328011287	-0.3973893789072749	-0.6553510800798737	-0.2961661097363511	-0.08654432816313663	-0.24647333673651325	-0.34231941265960614	-0.19380332935556638	-0.4068234097114225	-0.5288907432792987	-0.40306521509819	-0.5503910414147474	-0.7008916304151848	0.03124988407460883	-0.6435233330436916	-0.46820559501311093	-0.2501044677417303	0.18665754088710892	-0.3852424847596786	-0.49369520954777957	-0.580238448023389	-0.5785542450451515	-0.6618953836301393	-0.5589545500663268	-0.24414587895745163	-0.5618179041479119	-0.20935564705772072	1.1360892830889642
TCGA-25-2400	26.460702873818345	-0.048897040069690714	0.15338695826255164	0.8657644710934246	1.3656022530665792	0.7517912789701078	0.962236255927942	1.2355500671691315	0.5973884919712369	0.1966595861776838	0.8350310730704238	0.528042109863212	0.18271944910595822	-0.016492519203828347	0.08303181511557929	-0.041786928328298445	-0.6243633282827444	-0.3621827534758238	0.926868551553197	-0.32850648351318135	-0.5285870402917671	0.8546156730889836	-0.20616247590325415	0.36369222005859775	-0.4513452956015789	0.08263544070214916	-0.5910053970971458	-0.5779740455881585	-0.1416369550095604	0.7355549593615596	-0.10792966052188836	1.0989307513993904	-0.6056279552117176	-0.1490839982922816	-0.3033718536137151	-0.26702299377455857	0.8249700009424946	-0.4060161227985981	0.03414796659704296	2.1162250135928677	0.7913828366157487	-0.5439996857632687	0.44599859695455124	-0.35324153025604305	-0.34364563784233176	-0.337779639686707	-0.6053085495259191	-0.47331326082906994	-0.3233553523704043	-0.4620474803143927	-0.32612818199958526	-0.3150274267423618	-0.15779809263368408	-0.18102947853936224	-0.6287418746098788	-0.4363992263482155	-0.4411058424946115	-0.3769956158432241	-0.207625866466157	-0.3237794812054199	-0.2791365368409991	-0.38671107859140175	-0.05909874428811476	0.2131496254472888	-0.3374998034837491	-0.4333303607849854	-0.4042693526560302	0.5933561651330093	-0.26756335432132744	-0.22439203748066577	-0.400433077597932	-0.35703230130017666	-0.32817622197673335	-0.37665846194436237	-0.34330836124294717	-0.4844972536266524	-0.28659153254078906	-0.5077137995327563	-0.40624900886707	-0.18975278476276897	-0.23830591536972526	-0.5880434864911307	-0.509180897357422	-0.5551249832232541	-0.561221662034673	-0.39614833021419876	-0.40336129308546337	-0.25307362676569933	-0.6360898876580631	-0.32270069197694123	0.12794036232537181	-0.5081033730863346	-0.5153974226694121	-0.5753580385074231	-0.33954552297309604	-0.5500796390396047	-0.5834038203220471	0.0038014806912799763	-0.3673321260717739	0.2537162538098576
TCGA-EA-A1QS	-0.15363286490036862	-0.6695346140845917	-0.30189453875971434	-0.2913144120660666	-0.019491151336248843	4.849930853364385	0.31275940924825313	-0.3473950925394161	-0.31280598312527613	0.25817564026008477	0.4184358103181603	-0.649523090410145	-0.5266104223859285	-0.1296102667415048	0.6111283664736482	0.06510975056599266	1.9739913678809329	-0.07448654248828161	1.2000687293765562	0.9042437215540441	3.0883413730309246	2.99663838150409	1.9258224161403745	-0.9436627738498781	-0.7319129958130622	0.2749777724615079	-0.5022179789263567	0.9352320562252064	0.26345169077897396	-0.7444730749137413	0.7386592946215436	5.765677709300118	-0.3049247311223888	-0.3833372892865831	-0.307061813732615	-0.4589629977015701	-0.49280134520199365	-0.7680466126932808	-0.7196206966026623	0.7685984554194366	-0.3946612617384292	1.690947359033158	1.5929854707103985	6.439445855059212	15.519180159187064	-0.09236356727131267	1.7964474261571666	2.089068811812508	0.6760853216934658	2.3770608465988423	14.858112573822815	1.219561470377413	-0.27508179403992117	0.7164748629070878	1.3343185083870726	-0.4255138327085009	-0.5024536929672615	-0.19972852387618514	-0.1941853482540426	-0.298344139562711	-0.2560886175097193	-0.30105526522169695	-0.08692143285976975	0.12795876133293466	-0.2379893246356166	-0.381475121790994	-0.4076105971314735	-0.5288409990568214	-0.027242758830673397	-0.19032573011687554	-0.41822846436204786	-0.25899573862300274	-0.5516440782183754	-0.31249714594895805	-0.49569290275964867	-0.38615527631165814	0.0011966154258096725	-0.2850605221495394	-0.29847910894416996	-0.4791647274856743	-0.5099125588387584	-0.5479903810197061	-0.5517737669497782	-0.5233830546825495	-0.6258387665259211	-0.33445201935661706	-0.5678215622320032	-0.5160983709948753	-0.35440260657760897	0.10997242509199083	-0.26007537560647076	-0.5021285592380051	-0.5205540943180806	-0.523122559185852	-0.5768967913064855	-0.5497385535366937	-0.4444802688046526	-0.14991196544449986	-0.2577742695087213	0.4507923507476522
TCGA-FF-8047	-0.2729244607121225	-0.6863967535968407	-0.6392169857229882	-0.7169039665672694	-0.7298333349744432	-0.8602251916401332	-0.6240867662019184	-0.6305909822880682	-0.8998055136172438	-0.8160107979461453	-0.8751645949283757	-0.6619636083345762	-0.6686405813100915	-0.30014081577632756	-0.23806739881941577	-0.3698067730029188	-0.6518935318407839	-0.615351436731051	-0.8145572073876765	-0.37138215237754246	-0.5378050802110348	-0.7090395670712449	-1.0812148612497816	-1.061357385451664	-0.9093214766541916	-1.0586220348160853	-0.6156909372859908	-0.7282508901402448	-0.7572682532308471	-0.9952934189532155	-1.0298949049758965	-1.0936907019756144	-0.29117031074500477	-0.5167172054378535	-0.5457417764517366	-0.451540135323595	-0.2847416351559091	-0.7510265358433613	-0.7417398525929056	-1.1406086243335305	-0.8094041153224355	0.24201160038271627	-0.5450242149941791	-0.4495536748636769	-0.387255379784533	-0.4820568732125473	-0.4847603789654959	-0.5864154304458133	-0.40722292046881226	-0.4821541815222377	-0.12187154670048875	-0.2377102712555249	-0.2718418209886637	-0.2013646780320588	0.7280365728983528	0.35443860648235576	6.435427215419015	3.855153112638387	20.742626026403244	5.2559104415689335	3.8447148779415943	1.1849317756516646	0.15465582133874758	-0.8963192511836029	-0.34181043740779793	-0.022266181671509764	1.1253856765580543	-0.5230841281919634	-0.5828682540405974	-0.6919230633442517	-0.41258487230317725	-0.4902196799015691	0.558816734076223	-0.2773479429210607	1.757262763450107	-0.44219685717788265	-0.6176239424679267	-0.2908981288786902	-0.3579026174890442	-0.5752455588699431	-0.7180215497348464	-0.37518795342169675	-0.3352896470077121	0.21789780701763725	0.17650386408219126	-0.3863731752420822	-0.4502474339373364	-0.0698669224751557	0.45462141820766594	-0.5939506690033669	-0.4652518958302274	-0.42073005861212076	0.6210776745493	1.5013578425023462	1.7056281164349782	0.9357623791019101	1.000200381492785	-0.2988888958063213	-0.5181250989093886	-0.30385318082267526
